Student,Subject,Evaluation_Type,Evaluation_Name,Exercise_Name,Grade
Mona Magenta,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej1,10
Alice Cyan,Computer Science,FINAL_PRACTICAL_WORK,TP Final,Ej3,7
Quincy White,Mathematics,WRITTEN_EXAM,Examen Final,Ej4,8
Kelly Pink,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej6,8
Dana Brown,Art,PRACTICAL_WORK,TP6,Ej1,4
Mona Blue,Geography,PRACTICAL_WORK,TP3,Ej1,1
Quincy Green,Mathematics,WRITTEN_EXAM,Examen Final,Ej2,1
Dana Purple,Computer Science,PRACTICAL_WORK,TP1,Ej1,3
Sam Green,Physics,WRITTEN_EXAM,Segundo Parcial,Ej10,10
Hank Violet,English,WRITTEN_EXAM,Segundo Parcial,Ej20,3
Quincy Brown,Statistics,WRITTEN_EXAM,Examen Final,Ej5,9
Jack White,Physics,WRITTEN_EXAM,Examen Final,Ej5,5
Frank Teal,Statistics,WRITTEN_EXAM,Examen Final,Ej10,6
Grace Pink,Geography,FINAL_PRACTICAL_WORK,TP3,Ej8,2
Olivia Yellow,Sociology,ORAL_EXAM,Primer Parcial,Ej1,9
Dana Orange,Mathematics,WRITTEN_EXAM,Examen Final,Ej10,3
Olivia Purple,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej4,0
Liam Brown,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej4,5
Kelly Davis,Economics,WRITTEN_EXAM,Primer Parcial,Ej5,3
Kelly Black,Biology,WRITTEN_EXAM,Examen Final,Ej1,8
Quincy Johnson,English,WRITTEN_EXAM,Segundo Parcial,Ej7,7
Bob Teal,Geography,PRACTICAL_WORK,TP3,Ej4,9
Ivy Azure,Statistics,WRITTEN_EXAM,Primer Parcial,Ej1,2
Frank Brown,Geography,WRITTEN_EXAM,Examen Final,Ej7,5
Ivy Red,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej8,9
Charlie Cyan,English,WRITTEN_EXAM,Primer Parcial,Ej7,0
Dana Gray,Physics,WRITTEN_EXAM,Primer Parcial,Ej8,4
Dana Magenta,English,WRITTEN_EXAM,Segundo Parcial,Ej19,5
Paul Gray,English,WRITTEN_EXAM,Segundo Parcial,Ej9,2
Dana Orange,Biology,WRITTEN_EXAM,Primer Parcial,Ej4,0
Bob Pink,Physics,WRITTEN_EXAM,Segundo Parcial,Ej4,4
Grace Orange,Geography,PRACTICAL_WORK,TP3,Ej5,3
Nick Beige,Computer Science,FINAL_PRACTICAL_WORK,TP Final,Ej2,7
Mona Johnson,Physics,PRACTICAL_WORK,TP2,Ej5,6
Nick Violet,Economics,WRITTEN_EXAM,Segundo Parcial,Ej9,8
Olivia Black,Statistics,WRITTEN_EXAM,Examen Final,Ej10,2
Nick Magenta,English,WRITTEN_EXAM,Primer Parcial,Ej18,7
Kelly Red,Biology,WRITTEN_EXAM,Segundo Parcial,Ej8,3
Grace Cyan,Statistics,WRITTEN_EXAM,Examen Final,Ej7,5
Charlie Indigo,Economics,WRITTEN_EXAM,Primer Parcial,Ej8,1
Olivia Black,Art,PRACTICAL_WORK,TP6,Ej1,6
Alice Azure,Chemistry,PRACTICAL_WORK,TP2,Ej1,7
Jack Cyan,Geography,FINAL_PRACTICAL_WORK,TP3,Ej9,3
Mona Brown,Psychology,ORAL_EXAM,Primer Parcial,Ej1,3
Quincy Davis,Statistics,WRITTEN_EXAM,Examen Final,Ej5,6
Charlie Davis,Biology,WRITTEN_EXAM,Segundo Parcial,Ej2,9
Sam Teal,Geography,FINAL_PRACTICAL_WORK,TP3,Ej1,4
Ivy Beige,Philosophy,ORAL_EXAM,Primer Parcial,Ej1,5
Rita Azure,Chemistry,PRACTICAL_WORK,TP1,Ej1,9
Paul Gray,Music,PRACTICAL_WORK,TP10,Ej1,4
Nick Brown,Biology,WRITTEN_EXAM,Segundo Parcial,Ej7,9
Bob Gray,Geography,FINAL_PRACTICAL_WORK,TP3,Ej7,9
Ivy Black,English,WRITTEN_EXAM,Segundo Parcial,Ej16,5
Paul Davis,Mathematics,PRACTICAL_WORK,TP3,Ej3,9
Paul Beige,Computer Science,PRACTICAL_WORK,TP1,Ej1,2
Bob Pink,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej3,10
Liam Pink,Geography,FINAL_PRACTICAL_WORK,TP3,Ej2,2
Alice Davis,Geography,PRACTICAL_WORK,TP3,Ej3,6
Grace Gray,English,WRITTEN_EXAM,Segundo Parcial,Ej9,1
Nick Gray,Geography,PRACTICAL_WORK,TP2,Ej3,0
Eve Azure,Biology,WRITTEN_EXAM,Primer Parcial,Ej9,9
Bob Pink,Mathematics,PRACTICAL_WORK,TP1,Ej3,6
Charlie Teal,Biology,WRITTEN_EXAM,Examen Final,Ej8,6
Grace Orange,Biology,WRITTEN_EXAM,Segundo Parcial,Ej8,0
Frank Teal,English,WRITTEN_EXAM,Primer Parcial,Ej14,5
Grace Cyan,Physics,WRITTEN_EXAM,Primer Parcial,Ej5,7
Quincy Red,Geography,WRITTEN_EXAM,Examen Final,Ej5,7
Ivy Orange,English,WRITTEN_EXAM,Segundo Parcial,Ej3,5
Jack Teal,Music,PRACTICAL_WORK,TP4,Ej1,6
Rita Teal,Biology,WRITTEN_EXAM,Segundo Parcial,Ej7,5
Liam Red,Mathematics,PRACTICAL_WORK,TP3,Ej3,6
Mona Green,Economics,WRITTEN_EXAM,Segundo Parcial,Ej6,4
Frank Davis,Mathematics,PRACTICAL_WORK,TP2,Ej3,9
Sam Gray,Chemistry,PRACTICAL_WORK,TP1,Ej3,4
Rita Davis,Geography,PRACTICAL_WORK,TP4,Ej4,2
Dana Azure,English,WRITTEN_EXAM,Segundo Parcial,Ej5,9
Paul Gray,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej6,10
Quincy White,English,WRITTEN_EXAM,Primer Parcial,Ej20,2
Ivy Orange,Economics,WRITTEN_EXAM,Examen Final,Ej9,3
Jack Teal,Statistics,WRITTEN_EXAM,Primer Parcial,Ej8,3
Dana Davis,Chemistry,PRACTICAL_WORK,TP1,Ej2,7
Olivia Yellow,Chemistry,PRACTICAL_WORK,TP2,Ej1,2
Jack Magenta,Statistics,WRITTEN_EXAM,Examen Final,Ej7,5
Nick Teal,Physics,FINAL_PRACTICAL_WORK,TP3,Ej2,3
Rita Magenta,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej1,8
Mona Yellow,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej5,1
Alice Cyan,English,WRITTEN_EXAM,Primer Parcial,Ej1,6
Bob Violet,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej10,9
Olivia Green,Art,PRACTICAL_WORK,TP7,Ej1,0
Bob Magenta,Geography,PRACTICAL_WORK,TP3,Ej3,2
Eve Beige,Chemistry,WRITTEN_EXAM,Examen Final,Ej4,1
Dana Purple,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej3,2
Dana Pink,Statistics,WRITTEN_EXAM,Examen Final,Ej8,9
Quincy Blue,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej10,6
Alice Red,Music,PRACTICAL_WORK,TP3,Ej1,5
Dana Brown,Physics,WRITTEN_EXAM,Examen Final,Ej8,1
Eve Magenta,Music,PRACTICAL_WORK,TP6,Ej1,2
Mona Orange,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej1,7
Nick Pink,History,WRITTEN_EXAM,Examen Final,Ej1,6
Kelly Pink,Mathematics,PRACTICAL_WORK,TP3,Ej5,3
Alice Violet,English,WRITTEN_EXAM,Primer Parcial,Ej17,3
Eve Black,Computer Science,PRACTICAL_WORK,TP9,Ej1,5
Grace Beige,Physics,FINAL_PRACTICAL_WORK,TP3,Ej2,9
Sam Pink,Physics,WRITTEN_EXAM,Segundo Parcial,Ej9,7
Bob Gray,Statistics,WRITTEN_EXAM,Primer Parcial,Ej5,9
Mona Johnson,Economics,WRITTEN_EXAM,Segundo Parcial,Ej9,5
Paul Violet,Physics,FINAL_PRACTICAL_WORK,TP3,Ej4,2
Bob Davis,Physics,WRITTEN_EXAM,Primer Parcial,Ej5,7
Ivy Teal,Computer Science,PRACTICAL_WORK,TP5,Ej1,5
Rita Cyan,Economics,WRITTEN_EXAM,Segundo Parcial,Ej7,2
Olivia Blue,Physics,WRITTEN_EXAM,Primer Parcial,Ej4,2
Sam Green,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej9,1
Paul Teal,Geography,WRITTEN_EXAM,Examen Final,Ej3,3
Jack Orange,History,WRITTEN_EXAM,Primer Parcial,Ej1,9
Olivia Johnson,Economics,WRITTEN_EXAM,Primer Parcial,Ej2,0
Kelly Red,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej3,6
Olivia Yellow,Geography,PRACTICAL_WORK,TP2,Ej5,9
Olivia Johnson,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej3,1
Bob Davis,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej5,3
Olivia Purple,English,WRITTEN_EXAM,Segundo Parcial,Ej13,9
Mona Red,Economics,WRITTEN_EXAM,Examen Final,Ej2,1
Olivia Green,Geography,PRACTICAL_WORK,TP1,Ej2,5
Bob Yellow,Mathematics,PRACTICAL_WORK,TP2,Ej4,2
Mona White,Economics,WRITTEN_EXAM,Primer Parcial,Ej8,2
Quincy Pink,English,WRITTEN_EXAM,Segundo Parcial,Ej12,1
Sam Teal,Statistics,WRITTEN_EXAM,Examen Final,Ej6,2
Kelly Magenta,Statistics,WRITTEN_EXAM,Examen Final,Ej5,9
Nick Davis,Art,PRACTICAL_WORK,TP7,Ej1,1
Rita White,Physics,WRITTEN_EXAM,Examen Final,Ej3,9
Nick Pink,Music,PRACTICAL_WORK,TP5,Ej1,4
Bob Violet,Philosophy,ORAL_EXAM,Primer Parcial,Ej1,4
Dana Red,Physics,PRACTICAL_WORK,TP2,Ej3,8
Charlie Violet,Physics,WRITTEN_EXAM,Examen Final,Ej1,4
Paul Teal,English,WRITTEN_EXAM,Primer Parcial,Ej4,4
Liam Pink,English,WRITTEN_EXAM,Segundo Parcial,Ej19,2
Charlie Purple,Statistics,WRITTEN_EXAM,Primer Parcial,Ej4,3
Grace Azure,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej8,8
Eve Pink,Statistics,WRITTEN_EXAM,Primer Parcial,Ej1,2
Ivy Azure,Mathematics,WRITTEN_EXAM,Examen Final,Ej8,6
Bob Green,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej1,5
Dana Gray,Physics,WRITTEN_EXAM,Segundo Parcial,Ej8,8
Sam Davis,Philosophy,ORAL_EXAM,Segundo Parcial,Ej1,8
Kelly Gray,Statistics,WRITTEN_EXAM,Primer Parcial,Ej1,0
Rita White,Art,PRACTICAL_WORK,TP3,Ej1,5
Bob Violet,Physics,FINAL_PRACTICAL_WORK,TP3,Ej5,9
Grace Beige,Mathematics,PRACTICAL_WORK,TP2,Ej3,8
Nick White,Art,PRACTICAL_WORK,TP7,Ej1,1
Mona Blue,Biology,WRITTEN_EXAM,Segundo Parcial,Ej2,7
Bob Davis,Biology,WRITTEN_EXAM,Primer Parcial,Ej6,2
Bob Davis,Physics,FINAL_PRACTICAL_WORK,TP3,Ej5,2
Paul Blue,English,WRITTEN_EXAM,Primer Parcial,Ej6,8
Kelly Red,Geography,PRACTICAL_WORK,TP2,Ej1,9
Rita Teal,Physics,PRACTICAL_WORK,TP2,Ej4,3
Mona White,Physics,WRITTEN_EXAM,Primer Parcial,Ej5,8
Quincy Brown,Physics,WRITTEN_EXAM,Primer Parcial,Ej1,6
Quincy Purple,English,WRITTEN_EXAM,Segundo Parcial,Ej7,4
Liam Gray,Music,FINAL_PRACTICAL_WORK,TP Final,Ej1,4
Nick Teal,Geography,PRACTICAL_WORK,TP2,Ej3,6
Paul Johnson,English,WRITTEN_EXAM,Primer Parcial,Ej12,3
Grace Violet,Mathematics,WRITTEN_EXAM,Examen Final,Ej8,6
Mona Green,Physics,WRITTEN_EXAM,Examen Final,Ej9,9
Alice Orange,Art,PRACTICAL_WORK,TP3,Ej1,10
Frank Davis,Art,FINAL_PRACTICAL_WORK,TP Final,Ej1,9
Eve White,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej4,10
Paul White,English,WRITTEN_EXAM,Segundo Parcial,Ej4,9
Rita Teal,Economics,WRITTEN_EXAM,Examen Final,Ej8,8
Nick Cyan,English,WRITTEN_EXAM,Primer Parcial,Ej16,4
Paul Magenta,Biology,WRITTEN_EXAM,Examen Final,Ej9,7
Olivia Davis,Physics,WRITTEN_EXAM,Primer Parcial,Ej9,6
Paul Teal,Economics,WRITTEN_EXAM,Segundo Parcial,Ej1,6
Grace Azure,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej1,4
Paul Azure,Mathematics,WRITTEN_EXAM,Examen Final,Ej2,9
Dana Beige,Economics,WRITTEN_EXAM,Examen Final,Ej9,3
Paul Yellow,Geography,FINAL_PRACTICAL_WORK,TP3,Ej2,5
Liam Brown,Biology,WRITTEN_EXAM,Primer Parcial,Ej4,5
Alice Davis,English,WRITTEN_EXAM,Segundo Parcial,Ej16,8
Jack Orange,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej5,3
Alice Cyan,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej8,7
Olivia Beige,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej1,0
Sam Teal,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej9,1
Bob Orange,Economics,WRITTEN_EXAM,Examen Final,Ej1,10
Mona Azure,Geography,WRITTEN_EXAM,Examen Final,Ej3,7
Eve Blue,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej3,8
Kelly Green,Psychology,ORAL_EXAM,Primer Parcial,Ej1,7
Bob Beige,Mathematics,PRACTICAL_WORK,TP3,Ej3,9
Dana Teal,Physics,WRITTEN_EXAM,Segundo Parcial,Ej4,2
Hank Green,English,WRITTEN_EXAM,Primer Parcial,Ej14,4
Dana Brown,English,WRITTEN_EXAM,Segundo Parcial,Ej6,5
Alice Cyan,Physics,WRITTEN_EXAM,Segundo Parcial,Ej9,5
Eve Johnson,Biology,WRITTEN_EXAM,Primer Parcial,Ej5,7
Eve Orange,Music,PRACTICAL_WORK,TP2,Ej1,9
Kelly Brown,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej6,6
Alice Black,Geography,PRACTICAL_WORK,TP3,Ej1,3
Mona Beige,Music,PRACTICAL_WORK,TP9,Ej1,4
Ivy White,Chemistry,WRITTEN_EXAM,Examen Final,Ej3,8
Liam White,Physics,WRITTEN_EXAM,Examen Final,Ej9,5
Hank Red,Computer Science,PRACTICAL_WORK,TP1,Ej1,9
Kelly Beige,English,WRITTEN_EXAM,Primer Parcial,Ej13,1
Jack Cyan,Physics,WRITTEN_EXAM,Segundo Parcial,Ej5,6
Paul Blue,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej4,0
Quincy Red,English,ORAL_EXAM,Examen Final,Ej1,6
Ivy Violet,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej9,2
Mona Indigo,Physics,PRACTICAL_WORK,TP2,Ej5,1
Sam Cyan,Computer Science,PRACTICAL_WORK,TP7,Ej1,1
Grace Gray,Psychology,ORAL_EXAM,Examen Final,Ej1,7
Jack Black,Computer Science,PRACTICAL_WORK,TP2,Ej1,1
Nick Azure,Mathematics,PRACTICAL_WORK,TP2,Ej4,10
Kelly Johnson,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej1,8
Hank Violet,English,WRITTEN_EXAM,Segundo Parcial,Ej11,6
Grace Gray,Biology,WRITTEN_EXAM,Primer Parcial,Ej6,9
Dana Purple,Physics,WRITTEN_EXAM,Examen Final,Ej9,9
Ivy Brown,Mathematics,WRITTEN_EXAM,Examen Final,Ej2,2
Bob Teal,Economics,WRITTEN_EXAM,Examen Final,Ej5,5
Sam White,English,WRITTEN_EXAM,Segundo Parcial,Ej9,6
Liam Brown,Biology,WRITTEN_EXAM,Examen Final,Ej3,1
Sam Green,Statistics,WRITTEN_EXAM,Examen Final,Ej9,8
Liam Red,English,WRITTEN_EXAM,Primer Parcial,Ej13,0
Paul Orange,Biology,WRITTEN_EXAM,Segundo Parcial,Ej5,5
Olivia Gray,Biology,WRITTEN_EXAM,Segundo Parcial,Ej7,4
Jack White,Mathematics,PRACTICAL_WORK,TP1,Ej5,7
Olivia Teal,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej9,2
Kelly Johnson,Physics,WRITTEN_EXAM,Examen Final,Ej10,2
Alice Yellow,Biology,WRITTEN_EXAM,Primer Parcial,Ej7,3
Olivia Indigo,Economics,WRITTEN_EXAM,Examen Final,Ej5,2
Frank White,Art,PRACTICAL_WORK,TP8,Ej1,1
Frank Magenta,Physics,FINAL_PRACTICAL_WORK,TP3,Ej3,5
Rita Johnson,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej9,10
Hank Brown,Geography,FINAL_PRACTICAL_WORK,TP3,Ej5,6
Jack Black,Statistics,WRITTEN_EXAM,Segundo Parcial,Ej10,1
Grace Violet,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej2,0
Nick Cyan,History,WRITTEN_EXAM,Primer Parcial,Ej1,4
Hank Magenta,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej7,9
Olivia Azure,Geography,PRACTICAL_WORK,TP1,Ej3,3
Olivia Purple,Biology,WRITTEN_EXAM,Primer Parcial,Ej2,8
Liam Azure,English,WRITTEN_EXAM,Segundo Parcial,Ej13,5
Olivia Green,Statistics,WRITTEN_EXAM,Primer Parcial,Ej5,3
Paul Indigo,Psychology,ORAL_EXAM,Segundo Parcial,Ej1,4
Sam Orange,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej7,4
Olivia Indigo,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej9,0
Charlie Brown,Biology,WRITTEN_EXAM,Segundo Parcial,Ej7,10
Jack Orange,Geography,PRACTICAL_WORK,TP1,Ej3,8
Rita Magenta,Economics,WRITTEN_EXAM,Examen Final,Ej6,4
Nick Gray,Economics,WRITTEN_EXAM,Examen Final,Ej6,5
Grace Teal,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej8,6
Charlie Brown,Geography,PRACTICAL_WORK,TP3,Ej1,8
Olivia Yellow,Mathematics,PRACTICAL_WORK,TP2,Ej5,2
Charlie Brown,Chemistry,WRITTEN_EXAM,Examen Final,Ej9,1
Paul Magenta,Mathematics,WRITTEN_EXAM,Segundo Parcial,Ej10,8
Dana Beige,Chemistry,WRITTEN_EXAM,Segundo Parcial,Ej4,4
Paul Blue,Statistics,WRITTEN_EXAM,Examen Final,Ej3,10
Dana Black,English,WRITTEN_EXAM,Primer Parcial,Ej19,4
Mona Gray,Statistics,WRITTEN_EXAM,Primer Parcial,Ej5,2
Rita Brown,Geography,PRACTICAL_WORK,TP4,Ej4,0
Quincy Green,Biology,WRITTEN_EXAM,Segundo Parcial,Ej6,1
Mona Green,Mathematics,WRITTEN_EXAM,Primer Parcial,Ej5,2
Rita Yellow,Music,PRACTICAL_WORK,TP3,Ej1,8
Kelly Red,Psychology,ORAL_EXAM,Primer Parcial,Ej1,2
Grace Yellow,English,WRITTEN_EXAM,Segundo Parcial,Ej13,4
Alice Teal,Economics,WRITTEN_EXAM,Primer Parcial,Ej10,2
Kelly Azure,Economics,WRITTEN_EXAM,Primer Parcial,Ej7,3
Kelly Gray,Statistics,WRITTEN_EXAM,Examen Final,Ej9,6
Ivy Indigo,Biology,WRITTEN_EXAM,Segundo Parcial,Ej3,3
Grace Indigo,Geography,FINAL_PRACTICAL_WORK,TP3,Ej7,7
Rita Johnson,Biology,WRITTEN_EXAM,Examen Final,Ej6,8
Paul Orange,Chemistry,WRITTEN_EXAM,Primer Parcial,Ej8,3
Paul Orange,English,WRITTEN_EXAM,Segundo Parcial,Ej4,7
Quincy Brown,Computer Science,PRACTICAL_WORK,TP10,Ej1,4
